#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 40600.000000 1.104060 1.350255 0.299264
 40700.000000 1.103696 1.312152 0.155877
 40800.000000 1.105812 1.284647 0.114762
 40900.000000 1.159713 1.184374 0.257719
 41000.000000 1.251905 1.367473 0.263214
 41100.000000 1.131190 1.337088 0.051356
 41200.000000 1.151589 1.461357 0.176334
 41300.000000 1.122417 1.370327 0.244536
 41400.000000 1.038738 1.314331 0.167343
 41500.000000 0.975516 1.350071 0.264371
 41600.000000 1.250227 1.534460 0.372999
 41700.000000 1.161939 1.207784 0.125314
 41800.000000 1.084486 1.369029 0.287754
 41900.000000 1.217124 1.539653 0.419836
 42000.000000 1.056413 1.505699 0.325368
 42100.000000 1.097937 1.236571 0.140628
 42200.000000 1.165006 1.421900 0.169988
 42300.000000 1.241790 1.519600 0.228716
 42400.000000 1.058184 1.097854 0.115661
 42500.000000 1.118190 1.383651 0.101304
 42600.000000 1.082916 1.392101 0.119646
 42700.000000 1.135122 1.355623 0.146976
 42800.000000 1.089021 1.402697 0.265230
 42900.000000 0.964343 1.111019 0.075892
 43000.000000 1.112688 1.277750 0.170776
 43100.000000 1.160354 1.433216 0.076554
 43200.000000 1.155758 1.379513 0.307619
 43300.000000 1.106611 1.271663 0.140133
 43400.000000 1.107262 1.460358 0.272930
 43500.000000 1.055211 1.318384 0.345881
 43600.000000 1.058057 1.426184 0.209452
 43700.000000 1.110552 1.335524 0.176764
 43800.000000 1.135292 1.249186 0.235350
 43900.000000 1.108210 1.533109 0.281862
 44000.000000 1.140085 1.422433 0.245630
 44100.000000 1.148588 1.325810 0.064182
 44200.000000 1.194279 1.460144 0.257581
 44300.000000 1.098851 1.317721 0.224089
 44400.000000 1.268530 1.526765 0.273598
 44500.000000 1.142419 1.251394 0.149222
 44600.000000 1.084321 1.455316 0.379962
 44700.000000 1.131762 1.398859 0.204571
 44800.000000 1.147573 1.342340 0.244964
 44900.000000 1.118113 1.241526 0.239224
 45000.000000 1.109830 1.305557 0.329625
 45100.000000 1.163830 1.431824 0.150610
 45200.000000 1.205989 1.263887 0.270194
 45300.000000 1.212724 1.510591 0.480447
 45400.000000 1.170593 1.401236 0.318091
 45500.000000 1.129159 1.414439 0.078491
 45600.000000 1.210438 1.584328 0.248387
 45700.000000 1.057178 1.441800 0.257941
 45800.000000 1.080528 1.501361 0.265556
 45900.000000 1.227750 1.629167 0.192259
 46000.000000 1.118327 1.552153 0.367729
 46100.000000 1.212038 1.280584 0.226049
 46200.000000 1.053685 1.422209 0.133160
 46300.000000 1.084167 1.478107 0.306991
 46400.000000 1.212832 1.629095 0.255698
 46500.000000 1.197036 1.448487 0.159813
 46600.000000 1.174163 1.470341 0.224158
 46700.000000 1.132771 1.634145 0.171543
 46800.000000 1.098559 1.528518 0.309804
 46900.000000 1.059499 1.630283 0.354700
 47000.000000 1.118471 1.656373 0.360873
 47100.000000 1.045259 1.423542 0.130874
 47200.000000 1.080515 1.479428 0.062784
 47300.000000 1.160452 1.631811 0.255456
 47400.000000 1.068099 1.403964 0.144200
 47500.000000 1.113357 1.448041 0.248145
 47600.000000 1.112152 1.337349 0.177325
 47700.000000 1.081840 1.486019 0.180047
 47800.000000 1.183673 1.569782 0.181418
 47900.000000 1.109643 1.462192 0.208105
 48000.000000 1.141444 1.575178 0.143179
 48100.000000 1.073287 1.533558 0.302792
 48200.000000 1.179485 1.519833 0.573148
 48300.000000 1.265209 1.547947 0.210094
 48400.000000 1.203116 1.611370 0.270839
 48500.000000 1.142334 1.528464 0.263514
 48600.000000 1.095909 1.624049 0.273972
 48700.000000 1.086141 1.507372 0.129292
 48800.000000 1.081581 1.355724 0.342283
 48900.000000 1.089326 1.422784 0.216110
 49000.000000 1.141015 1.292953 0.213019
 49100.000000 1.071653 1.378487 0.338994
 49200.000000 1.095425 1.290495 0.111089
 49300.000000 1.031008 1.420267 0.145257
 49400.000000 1.085821 1.253591 0.369682
 49500.000000 1.089920 1.238012 0.230161
 49600.000000 0.969721 1.248852 0.276493
 49700.000000 1.092462 1.281849 0.230879
 49800.000000 1.158055 1.472662 0.247510
 49900.000000 1.148911 1.394790 0.265122
 50000.000000 1.102169 1.190071 0.176292
 50100.000000 1.068242 1.060363 0.150998
 50200.000000 1.120070 1.267538 0.143822
 50300.000000 1.169716 1.299411 0.255074
 50400.000000 1.076403 1.306274 0.128355
 50500.000000 1.046325 1.265635 0.278552
 50600.000000 1.206483 1.271809 0.149743
 50700.000000 1.135287 1.277285 0.200424
 50800.000000 1.075209 1.279481 0.240304
 50900.000000 1.117739 1.293344 0.249819
 51000.000000 1.018600 1.273274 0.037728
 51100.000000 1.060746 1.182679 0.086548
 51200.000000 1.125715 1.348438 0.317475
 51300.000000 1.119431 1.206764 0.330548
 51400.000000 1.141623 1.222070 0.311060
 51500.000000 0.935603 1.123711 0.108017
 51600.000000 0.988997 1.191162 0.131128
 51700.000000 1.135622 1.306315 0.165711
 51800.000000 1.165095 1.250376 0.195734
 51900.000000 1.095746 1.302037 0.246779
 52000.000000 0.996727 1.164664 0.236837
 52100.000000 1.093880 1.342699 0.253479
 52200.000000 1.082192 1.216857 0.022619
 52300.000000 1.133855 1.234460 0.174321
