#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 22300.000000 1.198325 1.613084 0.802248
 22400.000000 1.177729 1.838721 0.589678
 22500.000000 1.126042 1.525315 0.663506
 22600.000000 1.043906 1.485259 0.775724
 22700.000000 1.189160 1.660612 0.844371
 22800.000000 1.102221 1.481737 0.608869
 22900.000000 1.031183 1.632741 0.581389
 23000.000000 1.035842 1.536048 0.741530
 23100.000000 1.048158 1.601652 0.405852
 23200.000000 1.126598 1.564637 0.710376
 23300.000000 1.205857 1.615390 0.746615
 23400.000000 1.096293 1.505816 0.731490
 23500.000000 1.173476 1.634312 0.711671
 23600.000000 1.100965 1.717322 0.491890
 23700.000000 0.805247 1.431820 0.558296
 23800.000000 1.106344 1.552323 0.521296
 23900.000000 1.108462 1.559063 0.707291
 24000.000000 1.220836 1.599127 0.353775
 24100.000000 1.128015 1.563722 0.558846
 24200.000000 1.005871 1.753975 0.317032
 24300.000000 0.971597 1.492549 0.203269
 24400.000000 0.998570 1.641725 0.364612
 24500.000000 0.984493 1.794515 0.467499
 24600.000000 1.061977 1.696718 0.183761
 24700.000000 0.997881 1.681328 0.355516
 24800.000000 1.062997 1.655267 0.258729
 24900.000000 1.091564 1.765626 0.463350
 25000.000000 1.034860 1.766881 0.198814
 25100.000000 1.124193 1.830782 0.658875
 25200.000000 1.083145 1.814273 0.715817
 25300.000000 1.049963 1.689774 0.432136
 25400.000000 1.101005 1.611063 0.545907
 25500.000000 1.008499 1.656641 0.650728
 25600.000000 1.133392 1.630866 0.616111
 25700.000000 1.120584 1.699907 0.719088
 25800.000000 0.965598 1.552949 0.633629
 25900.000000 1.004969 1.603813 0.649838
 26000.000000 1.008201 1.664771 0.496545
 26100.000000 1.039971 1.709520 0.813476
 26200.000000 0.958147 1.733131 0.260580
 26300.000000 0.901524 1.601231 0.387834
 26400.000000 0.978434 1.888930 0.349198
 26500.000000 1.113910 1.963587 0.503887
 26600.000000 1.107725 1.738196 0.344884
 26700.000000 1.025080 1.805651 0.372316
 26800.000000 1.047326 1.760685 0.408611
 26900.000000 1.098510 1.772312 0.706686
 27000.000000 1.069936 1.778947 0.618539
 27100.000000 1.088106 1.688509 0.692721
 27200.000000 1.085739 1.690185 0.737706
 27300.000000 0.966649 1.682088 0.665041
 27400.000000 1.096578 1.656739 0.844945
 27500.000000 1.284973 1.736151 0.693992
 27600.000000 1.048500 1.645116 0.633409
 27700.000000 1.086537 1.714769 0.747419
 27800.000000 1.055270 1.732889 0.757144
 27900.000000 1.074413 1.689333 0.804364
 28000.000000 1.116554 1.664125 0.916096
 28100.000000 1.120369 1.636444 0.752028
 28200.000000 1.052465 1.588158 0.696487
 28300.000000 1.095300 1.680636 0.617310
 28400.000000 1.130182 1.659884 0.675243
 28500.000000 1.047135 1.660983 0.621709
 28600.000000 1.089629 1.730103 0.608093
 28700.000000 1.087055 1.751815 0.803736
 28800.000000 1.096235 1.705990 0.544120
 28900.000000 1.057439 1.616970 0.612265
 29000.000000 1.090513 1.760542 0.578433
 29100.000000 1.063391 1.690156 0.703095
 29200.000000 1.099121 1.553618 0.714722
 29300.000000 1.180161 1.732042 0.664042
 29400.000000 1.013454 1.655127 0.715034
 29500.000000 1.019778 1.707853 0.630413
 29600.000000 0.995750 1.635574 0.720167
 29700.000000 1.131303 1.794893 0.811692
 29800.000000 1.084090 1.654266 0.554117
 29900.000000 1.117394 1.629174 0.700118
 30000.000000 1.002335 1.649852 0.360739
 30100.000000 1.006813 1.635122 0.492291
 30200.000000 1.042574 1.725767 0.648165
 30300.000000 1.033858 1.618544 0.592399
 30400.000000 1.011156 1.642634 0.547499
 30500.000000 1.090900 1.705261 0.474899
 30600.000000 1.049374 1.714010 0.512298
 30700.000000 0.976038 1.704560 0.361058
 30800.000000 1.092568 1.681281 0.537220
 30900.000000 1.008314 1.615603 0.523880
 31000.000000 1.190135 1.897012 0.743192
 31100.000000 1.156275 1.728525 0.756562
 31200.000000 1.068850 1.750571 0.652294
 31300.000000 1.034031 1.655651 0.613414
 31400.000000 0.983650 1.826860 0.336659
 31500.000000 1.027619 1.637503 0.499712
 31600.000000 1.044348 1.731522 0.419114
 31700.000000 1.118735 1.661036 0.606496
 31800.000000 1.068509 1.705887 0.434365
 31900.000000 1.089663 1.735290 0.803738
 32000.000000 1.003498 1.561650 0.511975
 32100.000000 1.102818 1.575141 0.480103
 32200.000000 1.061703 1.653418 0.702518
 32300.000000 1.036230 1.698220 0.331781
 32400.000000 1.125980 1.939080 0.272417
 32500.000000 0.974056 1.715202 0.555778
 32600.000000 1.214162 1.605287 0.411880
 32700.000000 1.054515 1.623339 0.675729
 32800.000000 0.951022 1.681053 0.408119
 32900.000000 1.098937 1.681412 0.785624
 33000.000000 1.073175 1.725903 0.354616
 33100.000000 1.045613 1.651638 0.795812
 33200.000000 1.158384 1.721184 0.545190
 33300.000000 0.963042 1.717343 0.664317
 33400.000000 0.948526 1.699708 0.693722
 33500.000000 1.055380 1.765073 0.646013
 33600.000000 1.004667 1.760091 0.529622
 33700.000000 1.093939 1.741546 0.572345
 33800.000000 0.988340 1.625989 0.544211
 33900.000000 1.055841 1.706196 0.525609
 34000.000000 1.037214 1.714535 0.684643
 34100.000000 1.238773 1.906719 0.682349
 34200.000000 1.069253 1.716143 0.711634
 34300.000000 1.032460 1.748320 0.548486
 34400.000000 1.120091 1.665324 0.708687
 34500.000000 1.157588 1.570519 0.459429
 34600.000000 1.098141 1.729918 0.609652
 34700.000000 1.138743 1.722100 0.758125
 34800.000000 1.104796 1.657441 0.721888
 34900.000000 1.132579 1.601792 0.643581
 35000.000000 1.110476 1.628303 0.738581
 35100.000000 1.107255 1.720444 0.655832
 35200.000000 0.987375 1.676692 0.530164
 35300.000000 1.071918 1.654049 0.529245
 35400.000000 1.051101 1.544793 0.422633
 35500.000000 1.172723 1.619743 0.669356
 35600.000000 1.027610 1.705038 0.507235
 35700.000000 0.934446 1.632411 0.516749
 35800.000000 0.994187 1.567571 0.513076
 35900.000000 0.981230 1.765589 0.601653
 36000.000000 0.961316 1.783669 0.576975
 36100.000000 0.958556 1.654538 0.501663
 36200.000000 1.004543 1.623723 0.425571
 36300.000000 1.141550 1.665952 0.505062
 36400.000000 1.027974 1.665043 0.570054
 36500.000000 1.005526 1.689074 0.570402
 36600.000000 1.050349 1.544781 0.519010
 36700.000000 1.050151 1.580064 0.564471
 36800.000000 1.008044 1.753850 0.618189
 36900.000000 1.034044 1.550751 0.489920
 37000.000000 0.978917 1.646715 0.561398
 37100.000000 0.975551 1.680962 0.512814
 37200.000000 1.071153 1.595683 0.524246
 37300.000000 1.030962 1.636391 0.511342
 37400.000000 1.075467 1.638749 0.331724
 37500.000000 0.975639 1.729530 0.250868
 37600.000000 0.936944 1.706631 0.297610
 37700.000000 1.067180 1.644782 0.318800
 37800.000000 0.945980 1.815792 0.401504
 37900.000000 0.929644 1.557459 0.376739
 38000.000000 0.870086 1.780452 0.271060
 38100.000000 1.007082 1.618518 0.213630
 38200.000000 0.972619 1.667520 0.416249
 38300.000000 0.906426 1.662440 0.266910
 38400.000000 0.947224 1.521150 0.388804
 38500.000000 0.925593 1.659754 0.248849
 38600.000000 0.865658 1.818349 0.505987
 38700.000000 0.788921 1.554646 0.224615
 38800.000000 0.913883 1.596900 0.488884
 38900.000000 0.848770 1.589890 0.234528
 39000.000000 0.820546 1.673135 0.418214
 39100.000000 0.837392 1.628366 0.393096
 39200.000000 0.821681 1.587593 0.298539
 39300.000000 0.833244 1.576680 0.427328
 39400.000000 0.852927 1.661886 0.243911
 39500.000000 0.881485 1.694650 0.133935
 39600.000000 0.842134 1.660783 0.112416
 39700.000000 0.815468 1.612297 0.063716
 39800.000000 0.790635 1.734897 0.086776
 39900.000000 0.932858 1.778779 0.196643
 40000.000000 0.875530 1.671437 0.083534
 40100.000000 0.891459 1.857414 0.185642
 40200.000000 1.064325 1.604376 -0.041277
 40300.000000 0.886338 1.743539 0.274207
 40400.000000 1.012722 1.901851 0.205585
 40500.000000 1.103508 1.741325 0.508746
 40600.000000 1.018911 1.820641 0.513517
 40700.000000 0.929824 1.699156 0.310108
 40800.000000 0.944192 1.661114 0.373815
 40900.000000 1.027071 1.745140 0.340236
 41000.000000 1.300388 1.737477 0.472878
 41100.000000 1.177466 1.650669 0.254689
 41200.000000 1.451743 1.694973 0.556877
 41300.000000 1.302640 1.863168 0.471361
 41400.000000 1.056419 1.796740 0.340031
 41500.000000 1.103856 1.880109 0.295517
 41600.000000 1.052913 1.746694 0.196956
 41700.000000 0.970979 1.677325 0.307454
 41800.000000 0.969774 1.773239 0.413574
 41900.000000 1.077592 1.838097 0.372500
 42000.000000 1.021598 1.799176 0.534165
 42100.000000 1.027975 1.837395 0.539867
 42200.000000 1.179338 1.709235 0.576808
 42300.000000 1.040851 1.609667 0.510372
 42400.000000 1.005212 1.512497 0.579129
 42500.000000 1.081278 1.559566 0.697016
 42600.000000 0.993785 1.617304 0.456718
 42700.000000 1.041612 1.785357 0.536172
 42800.000000 1.077660 1.825900 0.255040
 42900.000000 0.913031 1.840784 0.451477
 43000.000000 1.070260 1.835664 0.634593
 43100.000000 1.072309 1.935775 0.627614
 43200.000000 0.950203 1.639627 0.266314
 43300.000000 0.968332 1.708334 0.286615
 43400.000000 1.093749 1.840154 0.311007
 43500.000000 0.944282 1.661466 0.245046
 43600.000000 1.004871 1.545897 0.366242
 43700.000000 1.093770 1.660463 0.491793
 43800.000000 0.989129 1.632984 0.400282
 43900.000000 0.932648 1.692683 0.296682
 44000.000000 0.958473 1.630051 0.353043
 44100.000000 0.933198 1.691073 0.425493
 44200.000000 0.875129 1.535054 0.376717
 44300.000000 1.024430 1.668958 0.456610
 44400.000000 0.955950 1.596385 0.338930
 44500.000000 0.902453 1.603599 0.346367
 44600.000000 1.017887 1.819292 0.347589
 44700.000000 1.039116 1.699361 0.352526
 44800.000000 0.948013 1.629244 0.309100
 44900.000000 0.944747 1.694083 0.375829
 45000.000000 0.892017 1.617396 0.246425
 45100.000000 0.823654 1.757447 0.185824
 45200.000000 0.907470 1.765636 0.134103
 45300.000000 0.943786 1.619491 0.406059
 45400.000000 1.095889 1.790239 0.560590
 45500.000000 1.005954 1.725395 0.409197
 45600.000000 0.983601 1.564710 0.347428
 45700.000000 0.954097 1.618327 0.445853
 45800.000000 0.950499 1.808351 0.263080
 45900.000000 0.943087 1.620651 0.127691
 46000.000000 1.004854 1.653217 0.309736
 46100.000000 0.982950 1.589076 0.228207
 46200.000000 0.982243 1.794217 0.376967
 46300.000000 1.019295 1.652694 0.288384
 46400.000000 0.932983 1.756279 0.500403
 46500.000000 1.019905 1.707770 0.389186
 46600.000000 1.016210 1.718372 0.577031
 46700.000000 0.921523 1.726587 0.476815
 46800.000000 0.950808 1.646086 0.498700
 46900.000000 0.981904 1.823795 0.664206
 47000.000000 1.112239 1.709836 0.923744
 47100.000000 1.212568 1.857205 0.754795
 47200.000000 1.153835 1.860217 0.793779
 47300.000000 1.109698 1.790173 0.882276
 47400.000000 0.841325 1.749710 0.365523
 47500.000000 0.896488 1.850353 0.327335
 47600.000000 0.848718 1.654691 0.584971
 47700.000000 1.033699 1.732752 0.359779
 47800.000000 0.918736 1.714465 0.568572
 47900.000000 1.088702 1.583827 0.751287
 48000.000000 0.949805 1.664189 0.543271
 48100.000000 0.946789 1.684324 0.395593
 48200.000000 0.946247 1.638551 0.463910
 48300.000000 0.956096 1.666678 0.552492
 48400.000000 1.018702 1.754607 0.741500
 48500.000000 1.070917 1.608536 0.625180
 48600.000000 1.003399 1.560595 0.529767
 48700.000000 1.165395 1.812438 0.766358
 48800.000000 1.013320 1.594798 0.572064
 48900.000000 0.979193 1.481611 0.659923
 49000.000000 0.993766 1.520479 0.734917
 49100.000000 1.022178 1.619213 0.814463
 49200.000000 1.018873 1.650684 0.638019
 49300.000000 1.069565 1.755628 0.542171
 49400.000000 0.919385 1.741160 0.612826
 49500.000000 0.975059 1.697302 0.442558
 49600.000000 0.932131 1.767107 0.385351
 49700.000000 0.962199 1.686785 0.221803
 49800.000000 1.198400 1.800628 0.243231
 49900.000000 0.989624 1.626951 0.319341
 50000.000000 1.066348 1.741139 0.323537
 50100.000000 0.954673 1.657103 0.430656
 50200.000000 0.842289 1.799146 0.296678
 50300.000000 0.920644 1.505811 0.559466
 50400.000000 1.037994 1.529888 0.440656
 50500.000000 1.187570 1.703288 0.469540
 50600.000000 1.162079 1.720073 0.707944
 50700.000000 1.093975 1.688890 0.629948
 50800.000000 1.057676 1.708117 0.697171
 50900.000000 1.058068 1.557792 0.595003
 51000.000000 0.935762 1.694038 0.522786
 51100.000000 1.097981 1.805740 0.419506
 51200.000000 1.120241 1.716664 0.479105
 51300.000000 1.043046 1.725095 0.493961
 51400.000000 1.010541 1.705438 0.286040
 51500.000000 1.096198 1.549347 0.386534
 51600.000000 1.135651 1.712601 0.380729
 51700.000000 1.053425 1.634635 0.251287
 51800.000000 0.949856 1.532514 0.300042
 51900.000000 0.997253 1.647322 0.168888
 52000.000000 1.023996 1.761365 0.424406
 52100.000000 1.061941 1.756028 0.291192
 52200.000000 1.038269 1.831173 0.206657
 52300.000000 1.011215 1.444475 0.327459
 52400.000000 0.959079 1.470127 0.443813
 52500.000000 0.991057 1.771116 0.271660
 52600.000000 0.854146 1.676972 0.314417
 52700.000000 1.129695 1.802245 0.318516
 52800.000000 0.999159 1.554097 0.333843
 52900.000000 1.112160 1.631493 0.337817
 53000.000000 1.245659 1.693438 0.362979
 53100.000000 1.233823 1.584400 0.515301
 53200.000000 1.050787 1.335478 0.364466
 53300.000000 1.270595 1.794196 0.413050
 53400.000000 1.072978 1.805048 0.481526
 53500.000000 1.125127 1.539399 0.503235
 53600.000000 1.224845 1.644586 0.485238
 53700.000000 1.081724 1.713671 0.422622
 53800.000000 1.076719 1.631118 0.242313
 53900.000000 1.000332 1.487112 0.503627
 54000.000000 1.106313 1.706884 0.357996
 54100.000000 0.933926 1.601279 0.413818
 54200.000000 1.018496 1.445850 0.135111
 54300.000000 1.185784 1.744354 0.559726
 54400.000000 1.091587 1.566549 0.540582
 54500.000000 1.045879 1.581670 0.441188
 54600.000000 1.079305 1.648882 0.705266
 54700.000000 1.139492 1.740534 0.732030
 54800.000000 1.226139 1.721865 0.651722
 54900.000000 1.147583 1.718025 0.678700
 55000.000000 1.133515 1.878459 0.488295
 55100.000000 1.192861 1.591549 0.460714
 55200.000000 1.099368 1.501547 0.619732
 55300.000000 0.982172 1.546539 0.659536
 55400.000000 1.014433 1.519277 0.744726
 55500.000000 1.113601 1.477420 0.709172
 55600.000000 1.015700 1.448318 0.776295
 55700.000000 1.115202 1.754687 0.648302
 55800.000000 1.106021 1.494812 0.595924
 55900.000000 1.038467 1.404449 0.402414
 56000.000000 1.045264 1.541853 0.758959
 56100.000000 1.040346 1.546365 0.641625
 56200.000000 1.031104 1.538367 0.672300
 56300.000000 1.157550 1.554491 0.752916
 56400.000000 1.186523 1.553443 0.493365
 56500.000000 1.095947 1.583730 0.734513
 56600.000000 1.257519 1.639941 0.670527
 56700.000000 1.265656 1.786518 0.640853
 56800.000000 1.195924 1.623256 0.929601
 56900.000000 1.031337 1.784380 0.662973
 57000.000000 0.967612 1.630509 0.308791
 57100.000000 1.034385 1.581836 0.793143
 57200.000000 0.742492 1.551747 0.333656
 57300.000000 1.081868 1.606863 0.560590
 57400.000000 1.095569 1.637181 0.644648
 57500.000000 1.239388 1.592908 0.571184
 57600.000000 1.089628 1.526119 0.500351
 57700.000000 1.068259 1.749310 0.457796
 57800.000000 1.049773 1.655381 0.345439
 57900.000000 1.082983 1.863382 0.437102
 58000.000000 0.993369 1.896240 0.277308
 58100.000000 0.867188 1.724700 0.291368
 58200.000000 0.863448 1.591187 0.347734
 58300.000000 0.909536 1.546298 0.400167
 58400.000000 1.116284 1.860506 0.398342
 58500.000000 0.929591 1.589368 0.193702
 58600.000000 0.950641 1.698369 0.433729
 58700.000000 1.115064 1.826122 0.361498
 58800.000000 1.084409 1.809684 0.249735
 58900.000000 1.028343 1.721375 0.362861
 59000.000000 0.975088 1.763457 0.394910
 59100.000000 0.947220 1.823139 0.537154
 59200.000000 1.162052 1.815923 0.536086
 59300.000000 1.000672 1.773359 0.557054
 59400.000000 1.048654 1.755180 0.376241
 59500.000000 1.063246 1.871856 0.329040
 59600.000000 1.142579 1.785212 0.370426
 59700.000000 0.933180 1.616581 0.350058
 59800.000000 0.820855 1.555845 0.227574
 59900.000000 0.967268 1.671029 0.117157
 60000.000000 1.035842 1.838382 0.208891
 60100.000000 1.011052 1.792118 0.664998
 60200.000000 1.070876 1.852541 0.567260
 60300.000000 0.958110 1.688489 0.448270
 60400.000000 1.040561 1.743084 0.342205
 60500.000000 1.118021 1.674206 0.532088
 60600.000000 1.032855 1.790375 0.615737
 60700.000000 1.085677 1.653950 0.610163
 60800.000000 1.004821 1.659725 0.600224
 60900.000000 1.062297 1.585226 0.632519
 61000.000000 1.094132 1.791213 0.695940
 61100.000000 1.025894 1.720992 0.581831
 61200.000000 1.044566 1.603335 0.678610
 61300.000000 0.894311 1.588926 0.084042
 61400.000000 0.917081 1.805817 0.416797
 61500.000000 0.942273 1.684679 0.267156
 61600.000000 0.927142 1.823575 0.165502
 61700.000000 0.881081 1.722326 0.071995
 61800.000000 0.952809 1.792162 0.423522
 61900.000000 1.032863 1.898386 0.212165
 62000.000000 0.891105 1.601078 0.268335
 62100.000000 0.907492 1.795514 0.387571
 62200.000000 0.828814 1.524548 0.367559
 62300.000000 0.864125 1.624357 0.383699
 62400.000000 0.845868 1.436476 0.160980
