#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 22000.000000 1.238282 -1.509039 -2.642358
 22100.000000 1.199377 -1.392335 -2.436255
 22200.000000 1.250171 -1.460939 -2.323143
 22300.000000 1.198325 -1.528509 -2.339345
 22400.000000 1.177729 -1.302872 -2.551915
 22500.000000 1.126042 -1.616277 -2.478087
 22600.000000 1.043906 -1.656333 -2.365869
 22700.000000 1.189160 -1.480981 -2.297222
 22800.000000 1.102221 -1.659856 -2.532723
 22900.000000 1.031183 -1.508852 -2.560204
 23000.000000 1.035842 -1.605545 -2.400062
 23100.000000 1.048158 -1.539941 -2.735741
 23200.000000 1.126598 -1.576956 -2.431216
 23300.000000 1.205857 -1.526203 -2.394978
 23400.000000 1.096293 -1.635776 -2.410103
 23500.000000 1.173476 -1.507281 -2.429922
 23600.000000 1.100965 -1.424271 -2.649703
 23700.000000 0.805247 -1.709773 -2.583297
 23800.000000 1.106344 -1.589270 -2.620296
 23900.000000 1.108462 -1.582530 -2.434302
 24000.000000 1.220836 -1.542465 -2.787817
 24100.000000 1.128015 -1.577870 -2.582746
 24200.000000 1.005871 -1.387617 -2.824560
 24300.000000 0.971597 -1.649044 -2.938323
 24400.000000 0.998570 -1.499868 -2.776980
 24500.000000 0.984493 -1.347078 -2.674094
 24600.000000 1.061977 -1.444875 -2.957831
 24700.000000 0.997881 -1.460265 -2.786077
 24800.000000 1.062997 -1.486326 -2.882864
 24900.000000 1.091564 -1.375966 -2.678242
 25000.000000 1.034860 -1.374712 -2.942778
 25100.000000 1.124193 -1.310811 -2.482717
 25200.000000 1.083145 -1.327320 -2.425776
 25300.000000 1.049963 -1.451818 -2.709456
 25400.000000 1.101005 -1.530530 -2.595686
 25500.000000 1.008499 -1.484952 -2.490865
 25600.000000 1.133392 -1.510727 -2.525482
 25700.000000 1.120584 -1.441686 -2.422504
 25800.000000 0.965598 -1.588644 -2.507963
 25900.000000 1.004969 -1.537780 -2.491755
 26000.000000 1.008201 -1.476822 -2.645047
 26100.000000 1.039971 -1.432073 -2.328117
 26200.000000 0.958147 -1.408462 -2.881013
 26300.000000 0.901524 -1.540362 -2.753759
 26400.000000 0.978434 -1.252662 -2.792395
 26500.000000 1.113910 -1.178006 -2.637706
 26600.000000 1.107725 -1.403396 -2.796709
 26700.000000 1.025080 -1.335942 -2.769276
 26800.000000 1.047326 -1.380907 -2.732981
 26900.000000 1.098510 -1.369280 -2.434907
 27000.000000 1.069936 -1.362646 -2.523053
 27100.000000 1.088106 -1.453084 -2.448872
 27200.000000 1.085739 -1.451407 -2.403887
 27300.000000 0.966649 -1.459505 -2.476551
 27400.000000 1.096578 -1.484854 -2.296647
 27500.000000 1.284973 -1.405442 -2.447601
 27600.000000 1.048500 -1.496476 -2.508184
 27700.000000 1.086537 -1.426824 -2.394173
 27800.000000 1.055270 -1.408703 -2.384449
 27900.000000 1.074413 -1.452260 -2.337229
 28000.000000 1.116554 -1.477468 -2.225497
 28100.000000 1.120369 -1.505148 -2.389564
 28200.000000 1.052465 -1.553435 -2.445106
 28300.000000 1.095300 -1.460956 -2.524283
 28400.000000 1.130182 -1.481708 -2.466350
 28500.000000 1.047135 -1.480609 -2.519884
 28600.000000 1.089629 -1.411490 -2.533500
 28700.000000 1.087055 -1.389778 -2.337857
 28800.000000 1.096235 -1.435603 -2.597472
 28900.000000 1.057439 -1.524623 -2.529328
 29000.000000 1.090513 -1.381051 -2.563159
 29100.000000 1.063391 -1.451437 -2.438498
 29200.000000 1.099121 -1.587975 -2.426870
 29300.000000 1.180161 -1.409551 -2.477550
 29400.000000 1.013454 -1.486466 -2.426558
 29500.000000 1.019778 -1.433739 -2.511180
 29600.000000 0.995750 -1.506018 -2.421426
 29700.000000 1.131303 -1.346700 -2.329900
 29800.000000 1.084090 -1.487327 -2.587475
 29900.000000 1.117394 -1.512419 -2.441475
 30000.000000 1.002335 -1.491741 -2.780853
 30100.000000 1.006813 -1.506471 -2.649302
 30200.000000 1.042574 -1.415826 -2.493428
 30300.000000 1.033858 -1.523048 -2.549194
 30400.000000 1.011156 -1.498959 -2.594094
 30500.000000 1.090900 -1.436332 -2.666693
 30600.000000 1.049374 -1.427583 -2.629295
 30700.000000 0.976038 -1.437033 -2.780534
 30800.000000 1.092568 -1.460311 -2.604372
 30900.000000 1.008314 -1.525989 -2.617713
 31000.000000 1.190135 -1.244581 -2.398400
 31100.000000 1.156275 -1.413067 -2.385030
 31200.000000 1.068850 -1.391021 -2.489299
 31300.000000 1.034031 -1.485942 -2.528178
 31400.000000 0.983650 -1.314732 -2.804934
 31500.000000 1.027619 -1.504090 -2.641881
 31600.000000 1.044348 -1.410071 -2.722479
 31700.000000 1.118735 -1.480557 -2.535096
 31800.000000 1.068509 -1.435706 -2.707227
 31900.000000 1.089663 -1.406303 -2.337855
 32000.000000 1.003498 -1.579943 -2.629618
 32100.000000 1.102818 -1.566452 -2.661490
 32200.000000 1.061703 -1.488175 -2.439075
 32300.000000 1.036230 -1.443373 -2.809811
 32400.000000 1.125980 -1.202513 -2.869175
 32500.000000 0.974056 -1.426391 -2.585815
 32600.000000 1.214162 -1.536306 -2.729713
 32700.000000 1.054515 -1.518253 -2.465864
 32800.000000 0.951022 -1.460540 -2.733474
 32900.000000 1.098937 -1.460180 -2.355968
 33000.000000 1.073175 -1.415690 -2.786976
 33100.000000 1.045613 -1.489954 -2.345781
 33200.000000 1.158384 -1.420408 -2.596403
 33300.000000 0.963042 -1.424250 -2.477275
 33400.000000 0.948526 -1.441884 -2.447870
 33500.000000 1.055380 -1.376519 -2.495580
 33600.000000 1.004667 -1.381501 -2.611970
 33700.000000 1.093939 -1.400047 -2.569248
 33800.000000 0.988340 -1.515603 -2.597381
 33900.000000 1.055841 -1.435396 -2.615984
 34000.000000 1.037214 -1.427057 -2.456950
 34100.000000 1.238773 -1.234874 -2.459243
 34200.000000 1.069253 -1.425449 -2.429959
 34300.000000 1.032460 -1.393273 -2.593106
 34400.000000 1.120091 -1.476269 -2.432906
 34500.000000 1.157588 -1.571074 -2.682164
 34600.000000 1.098141 -1.411675 -2.531940
 34700.000000 1.138743 -1.419492 -2.383467
 34800.000000 1.104796 -1.484151 -2.419704
 34900.000000 1.132579 -1.539801 -2.498012
 35000.000000 1.110476 -1.513290 -2.403012
 35100.000000 1.107255 -1.421149 -2.485761
 35200.000000 0.987375 -1.464901 -2.611428
 35300.000000 1.071918 -1.487544 -2.612347
 35400.000000 1.051101 -1.596799 -2.718960
 35500.000000 1.172723 -1.521850 -2.472237
 35600.000000 1.027610 -1.436555 -2.634358
 35700.000000 0.934446 -1.509182 -2.624844
 35800.000000 0.994187 -1.574022 -2.628517
 35900.000000 0.981230 -1.376003 -2.539940
 36000.000000 0.961316 -1.357924 -2.564618
 36100.000000 0.958556 -1.487054 -2.639929
 36200.000000 1.004543 -1.517870 -2.716022
 36300.000000 1.141550 -1.475641 -2.636530
 36400.000000 1.027974 -1.476550 -2.571539
 36500.000000 1.005526 -1.452519 -2.571191
