#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 20300.000000 1.198074 -1.525057 -2.612937
 20400.000000 1.253349 -1.567358 -2.644501
 20500.000000 1.255639 -1.441912 -2.432437
 20600.000000 1.262556 -1.548582 -2.494806
 20700.000000 1.209946 -1.637128 -2.495768
 20800.000000 1.233117 -1.652956 -2.590769
 20900.000000 1.182271 -1.805437 -2.811204
 21000.000000 1.213431 -1.592330 -2.801562
 21100.000000 1.271766 -1.625107 -2.818957
 21200.000000 1.216291 -1.702702 -2.633514
 21300.000000 1.178278 -1.794398 -2.702374
 21400.000000 1.160240 -1.754434 -2.742565
 21500.000000 1.185986 -1.637121 -2.555624
 21600.000000 1.107443 -1.813839 -2.877314
 21700.000000 1.180403 -1.677171 -2.785278
 21800.000000 1.281512 -1.569141 -2.551142
 21900.000000 1.269706 -1.585650 -2.691153
 22000.000000 1.191773 -1.687047 -2.851579
 22100.000000 1.259264 -1.531615 -2.768201
 22200.000000 1.245046 -1.728198 -2.791277
 22300.000000 1.199959 -1.694411 -2.779793
 22400.000000 1.284683 -1.540802 -2.797223
 22500.000000 1.160058 -1.752337 -2.772667
 22600.000000 1.173849 -1.771000 -2.841208
 22700.000000 1.141280 -1.586868 -2.862508
 22800.000000 1.173789 -1.671687 -2.898879
 22900.000000 1.218893 -1.665138 -2.679205
 23000.000000 1.151014 -1.702667 -2.663249
 23100.000000 1.170887 -1.635552 -2.570158
 23200.000000 1.284324 -1.550883 -2.528282
 23300.000000 1.242599 -1.589085 -2.549625
 23400.000000 1.194648 -1.547244 -2.545181
 23500.000000 1.271685 -1.683500 -2.595902
 23600.000000 1.317673 -1.434192 -2.472409
 23700.000000 1.241543 -1.652363 -2.585018
 23800.000000 1.165940 -1.657464 -2.792575
 23900.000000 1.184141 -1.634976 -2.595752
 24000.000000 1.224997 -1.702058 -2.739867
 24100.000000 1.221310 -1.573069 -2.569485
 24200.000000 1.297301 -1.585786 -2.391727
 24300.000000 1.252091 -1.498587 -2.425779
 24400.000000 1.264142 -1.555058 -2.529430
 24500.000000 1.263885 -1.515971 -2.427033
 24600.000000 1.351410 -1.618119 -2.471358
 24700.000000 1.481200 -1.574776 -2.309921
 24800.000000 1.305031 -1.607883 -2.465693
 24900.000000 1.301651 -1.592133 -2.600190
 25000.000000 1.265586 -1.544187 -2.424440
 25100.000000 1.330912 -1.672980 -2.542243
 25200.000000 1.273404 -1.698184 -2.619941
 25300.000000 1.224698 -1.547660 -2.532673
 25400.000000 1.362465 -1.535225 -2.442626
 25500.000000 1.318167 -1.484514 -2.457278
 25600.000000 1.321553 -1.596055 -2.526954
